"country","date","topic","percentage"
"Germany",1991-03-01,"Environment",1.5
"Germany",1991-04-01,"Environment",8.55614973262032
"Germany",1991-05-01,"Environment",3.98550724637681
"Germany",1991-06-01,"Environment",3.84146341463415
"Germany",1991-09-01,"Environment",1.99004975124378
"Germany",1991-10-01,"Environment",3.19148936170213
"Germany",1991-11-01,"Environment",2.81396560708702
"Germany",1991-12-01,"Environment",4.28921568627451
"Germany",1992-01-01,"Environment",2.97766749379653
"Germany",1992-02-01,"Environment",1.04347826086957
"Germany",1992-03-01,"Environment",1.82704019488429
"Germany",1992-05-01,"Environment",3.55239786856128
"Germany",1992-06-01,"Environment",0.932994062765055
"Germany",1992-09-01,"Environment",1.39784946236559
"Germany",1992-10-01,"Environment",1.46341463414634
"Germany",1992-11-01,"Environment",2.83251231527094
"Germany",1992-12-01,"Environment",2.14669051878354
"Germany",1993-01-01,"Environment",2.2271714922049
"Germany",1993-02-01,"Environment",3.9727582292849
"Germany",1993-03-01,"Environment",2.06073752711497
"Germany",1993-04-01,"Environment",2.68361581920904
"Germany",1993-05-01,"Environment",0.786516853932584
"Germany",1993-06-01,"Environment",2.04572803850782
"Germany",1993-07-01,"Environment",0.813008130081301
"Germany",1993-09-01,"Environment",2.92072322670376
"Germany",1993-10-01,"Environment",3.52673492605233
"Germany",1993-11-01,"Environment",0.541027953110911
"Germany",1993-12-01,"Environment",1.74563591022444
"Germany",1994-01-01,"Environment",1.39616055846422
"Germany",1994-02-01,"Environment",1.03986135181976
"Germany",1994-03-01,"Environment",1.96078431372549
"Germany",1994-04-01,"Environment",0.50251256281407
"Germany",1994-05-01,"Environment",0.383141762452107
"Germany",1994-06-01,"Environment",1.5884476534296
"Germany",1994-09-01,"Environment",2.81442392260334
"Germany",1994-11-01,"Environment",3.7593984962406
"Germany",1994-12-01,"Environment",3.45596432552954
"Germany",1995-01-01,"Environment",4.576144036009
"Germany",1995-02-01,"Environment",5.44262295081967
"Germany",1995-03-01,"Environment",3.18775900541919
"Germany",1995-04-01,"Environment",10.1298701298701
"Germany",1995-05-01,"Environment",3.16129032258065
"Germany",1995-06-01,"Environment",2.68797675263349
"Germany",1995-07-01,"Environment",7.69230769230769
"Germany",1995-09-01,"Environment",3.0779524924724
"Germany",1995-10-01,"Environment",0.834560628375061
"Germany",1995-11-01,"Environment",2.44333235207536
"Germany",1995-12-01,"Environment",0.484496124031008
"Germany",1996-01-01,"Environment",1.92771084337349
"Germany",1996-02-01,"Environment",2.45601173020528
"Germany",1996-03-01,"Environment",2.82026768642447
"Germany",1996-04-01,"Environment",4.15770609318996
"Germany",1996-05-01,"Environment",1.57964019306713
"Germany",1996-06-01,"Environment",2.14309264754369
"Germany",1996-08-01,"Environment",2.52525252525253
"Germany",1996-09-01,"Environment",2.12224108658744
"Germany",1996-10-01,"Environment",1.7428167687235
"Germany",1996-11-01,"Environment",2.19229564672722
"Germany",1996-12-01,"Environment",2.16903515332835
"Germany",1997-01-01,"Environment",2.5748502994012
"Germany",1997-02-01,"Environment",4.01234567901235
"Germany",1997-03-01,"Environment",2.4198086662915
"Germany",1997-04-01,"Environment",1.74216027874564
"Germany",1997-05-01,"Environment",0.70323488045007
"Germany",1997-06-01,"Environment",3.12707917498337
"Germany",1997-08-01,"Environment",2.61780104712042
"Germany",1997-09-01,"Environment",1.96642685851319
"Germany",1997-10-01,"Environment",1.76957831325301
"Germany",1997-11-01,"Environment",2.70935960591133
"Germany",1997-12-01,"Environment",1.25786163522013
"Germany",1998-01-01,"Environment",3.5110533159948
"Germany",1998-02-01,"Environment",1.53846153846154
"Germany",1998-03-01,"Environment",4.04295641187618
"Germany",1998-04-01,"Environment",2.77632268203248
"Germany",1998-05-01,"Environment",2.50860796851943
"Germany",1998-06-01,"Environment",1.94132873166523
"Germany",1998-09-01,"Environment",0.351699882766706
"Germany",1998-11-01,"Environment",3.2027128862095
"Germany",1998-12-01,"Environment",0.925925925925926
"Germany",1999-01-01,"Environment",4.11832946635731
"Germany",1999-02-01,"Environment",2.82203004096495
"Germany",1999-03-01,"Environment",2.51374705420267
"Germany",1999-04-01,"Environment",0.953778429933969
"Germany",1999-05-01,"Environment",2.92573143285821
"Germany",1999-06-01,"Environment",1.97029402849348
"Germany",1999-09-01,"Environment",2.42708944999021
"Germany",1999-10-01,"Environment",2.2417934347478
"Germany",1999-11-01,"Environment",2.87064589532645
"Germany",1999-12-01,"Environment",2.39673635900051
"Germany",2000-01-01,"Environment",2.95741324921136
"Germany",2000-02-01,"Environment",2.79481935923654
"Germany",2000-03-01,"Environment",3.78169316716803
"Germany",2000-04-01,"Environment",3.13404050144648
"Germany",2000-05-01,"Environment",2.62529832935561
"Germany",2000-06-01,"Environment",2.1079258010118
"Germany",2000-07-01,"Environment",1.25786163522013
"Germany",2000-09-01,"Environment",3.3195020746888
"Germany",2000-10-01,"Environment",2.34435049961568
"Germany",2000-11-01,"Environment",3.48970251716247
"Germany",2000-12-01,"Environment",4.09356725146199
"Germany",2001-01-01,"Environment",3.49705304518664
"Germany",2001-02-01,"Environment",5.84854631507775
"Germany",2001-03-01,"Environment",2.40570240570241
"Germany",2001-04-01,"Environment",3.39123242349049
"Germany",2001-05-01,"Environment",0.974770642201835
"Germany",2001-06-01,"Environment",2.71304347826087
"Germany",2001-07-01,"Environment",2.43328100470958
"Germany",2001-09-01,"Environment",4.1220556745182
"Germany",2001-10-01,"Environment",0.528885272579333
"Germany",2001-11-01,"Environment",2.96163338568544
"Germany",2001-12-01,"Environment",3.87346675274371
"Germany",2002-01-01,"Environment",2.69406392694064
"Germany",2002-02-01,"Environment",1.33928571428571
"Germany",2002-03-01,"Environment",2.2412656558998
"Germany",2002-04-01,"Environment",1.08741112505228
"Germany",2002-05-01,"Environment",3.52360817477097
"Germany",2002-06-01,"Environment",2.78274696879348
"Germany",2002-07-01,"Environment",2.50552689756817
"Germany",2002-08-01,"Environment",8.48484848484849
"Germany",2002-09-01,"Environment",5.01981505944518
"Germany",2002-10-01,"Environment",1.52116402116402
"Germany",2002-11-01,"Environment",1.41190914671578
"Germany",2002-12-01,"Environment",2.31233243967828
"Germany",2003-01-01,"Environment",1.20481927710843
"Germany",2003-02-01,"Environment",2.14084507042254
"Germany",2003-03-01,"Environment",1.52586527726089
"Germany",2003-04-01,"Environment",1.90528034839412
"Germany",2003-05-01,"Environment",1.32856412876852
"Germany",2003-06-01,"Environment",0.981873111782477
"Germany",2003-07-01,"Environment",3.55691056910569
"Germany",2003-09-01,"Environment",3.18181818181818
"Germany",2003-10-01,"Environment",0.891861761426979
"Germany",2003-11-01,"Environment",3.31638828370854
"Germany",2003-12-01,"Environment",1.69293636894337
"Germany",2004-01-01,"Environment",2.26735947094946
"Germany",2004-02-01,"Environment",2.38853503184713
"Germany",2004-03-01,"Environment",3.19120407615983
"Germany",2004-04-01,"Environment",4.06819062378923
"Germany",2004-05-01,"Environment",2.98237686398554
"Germany",2004-06-01,"Environment",2.07416719044626
"Germany",2004-07-01,"Environment",4.23280423280423
"Germany",2004-09-01,"Environment",3.4492123845736
"Germany",2004-10-01,"Environment",2.00296735905045
"Germany",2004-11-01,"Environment",2.17992017193737
"Germany",2004-12-01,"Environment",3.42857142857143
"Germany",2005-01-01,"Environment",3.62946912242687
"Germany",2005-02-01,"Environment",2.96127562642369
"Germany",2005-03-01,"Environment",0.963222416812609
"Germany",2005-04-01,"Environment",1.84453227931489
"Germany",2005-05-01,"Environment",2.18181818181818
"Germany",2005-06-01,"Environment",3.65011509371917
"Germany",2005-07-01,"Environment",1.28205128205128
"Germany",2005-09-01,"Environment",1.95530726256983
"Germany",2005-11-01,"Environment",2.01793721973094
"Germany",2005-12-01,"Environment",1.71990171990172
"Germany",2006-01-01,"Environment",2.18031820860342
"Germany",2006-02-01,"Environment",3.52843503528435
"Germany",2006-03-01,"Environment",2.53915519696251
"Germany",2006-04-01,"Environment",4.01854714064915
"Germany",2006-05-01,"Environment",1.2987012987013
"Germany",2006-06-01,"Environment",2.69788750318147
"Germany",2006-09-01,"Environment",1.91008618681575
"Germany",2006-10-01,"Environment",2.51921434671221
"Germany",2006-11-01,"Environment",2.99634591961023
"Germany",2006-12-01,"Environment",2.54071661237785
"Germany",2007-01-01,"Environment",4.23476968796434
"Germany",2007-02-01,"Environment",1.05691056910569
"Germany",2007-03-01,"Environment",2.41935483870968
"Germany",2007-04-01,"Environment",3.05635148042025
"Germany",2007-05-01,"Environment",1.45705521472393
"Germany",2007-06-01,"Environment",2.20162224797219
"Germany",2007-07-01,"Environment",3.09798270893372
"Germany",2007-09-01,"Environment",2.79406691962746
