"country","year","month","total_sentences"
"DE",1991,3,800
"DE",1991,4,561
"DE",1991,5,276
"DE",1991,6,1640
"DE",1991,9,1407
"DE",1991,10,1034
"DE",1991,11,1919
"DE",1991,12,816
"DE",1992,1,403
"DE",1992,2,575
"DE",1992,3,821
"DE",1992,4,159
"DE",1992,5,563
"DE",1992,6,1179
"DE",1992,7,131
"DE",1992,9,930
"DE",1992,10,820
"DE",1992,11,1624
"DE",1992,12,559
"DE",1993,1,898
"DE",1993,2,881
"DE",1993,3,922
"DE",1993,4,708
"DE",1993,5,890
"DE",1993,6,831
"DE",1993,7,369
"DE",1993,9,1438
"DE",1993,10,879
"DE",1993,11,1109
"DE",1993,12,802
"DE",1994,1,573
"DE",1994,2,577
"DE",1994,3,867
"DE",1994,4,995
"DE",1994,5,522
"DE",1994,6,1385
"DE",1994,7,90
"DE",1994,9,1137
"DE",1994,11,1064
"DE",1994,12,897
"DE",1995,1,1333
"DE",1995,2,1525
"DE",1995,3,3137
"DE",1995,4,385
"DE",1995,5,1550
"DE",1995,6,2753
"DE",1995,7,182
"DE",1995,9,2989
"DE",1995,10,2037
"DE",1995,11,3397
"DE",1995,12,1032
"DE",1996,1,830
"DE",1996,2,2728
"DE",1996,3,2092
"DE",1996,4,1395
"DE",1996,5,2279
"DE",1996,6,3033
"DE",1996,7,73
"DE",1996,8,198
"DE",1996,9,2356
"DE",1996,10,2123
"DE",1996,11,3193
"DE",1996,12,1337
"DE",1997,1,1670
"DE",1997,2,1944
"DE",1997,3,1777
"DE",1997,4,1722
"DE",1997,5,711
"DE",1997,6,3006
"DE",1997,8,191
"DE",1997,9,2085
"DE",1997,10,2656
"DE",1997,11,2842
"DE",1997,12,954
"DE",1998,1,769
"DE",1998,2,1690
"DE",1998,3,1583
"DE",1998,4,1909
"DE",1998,5,2033
"DE",1998,6,2318
"DE",1998,9,853
"DE",1998,10,229
"DE",1998,11,2654
"DE",1998,12,1836
"DE",1999,1,1724
"DE",1999,2,2197
"DE",1999,3,3819
"DE",1999,4,1363
"DE",1999,5,2666
"DE",1999,6,3299
"DE",1999,7,183
"DE",1999,9,5109
"DE",1999,10,2498
"DE",1999,11,5713
"DE",1999,12,1961
"DE",2000,1,2536
"DE",2000,2,2934
"DE",2000,3,2327
"DE",2000,4,2074
"DE",2000,5,2514
"DE",2000,6,2372
"DE",2000,7,1590
"DE",2000,9,3374
"DE",2000,10,2602
"DE",2000,11,5244
"DE",2000,12,1881
"DE",2001,1,2545
"DE",2001,2,2958
"DE",2001,3,3367
"DE",2001,4,1209
"DE",2001,5,3488
"DE",2001,6,2875
"DE",2001,7,1274
"DE",2001,8,138
"DE",2001,9,1868
"DE",2001,10,2458
"DE",2001,11,4457
"DE",2001,12,1549
"DE",2002,1,2190
"DE",2002,2,2016
"DE",2002,3,3034
"DE",2002,4,2391
"DE",2002,5,1419
"DE",2002,6,5031
"DE",2002,7,1357
"DE",2002,8,165
"DE",2002,9,757
"DE",2002,10,1512
"DE",2002,11,1629
"DE",2002,12,2984
"DE",2003,1,2075
"DE",2003,2,1775
"DE",2003,3,2687
"DE",2003,4,1837
"DE",2003,5,1957
"DE",2003,6,2648
"DE",2003,7,984
"DE",2003,9,2860
"DE",2003,10,1794
"DE",2003,11,4131
"DE",2003,12,1713
"DE",2004,1,2117
"DE",2004,2,1256
"DE",2004,3,3729
"DE",2004,4,2581
"DE",2004,5,2213
"DE",2004,6,1591
"DE",2004,7,756
"DE",2004,9,3682
"DE",2004,10,2696
"DE",2004,11,3257
"DE",2004,12,2975
"DE",2005,1,1846
"DE",2005,2,2195
"DE",2005,3,2284
"DE",2005,4,2277
"DE",2005,5,1100
"DE",2005,6,3041
"DE",2005,7,156
"DE",2005,9,358
"DE",2005,10,37
"DE",2005,11,446
"DE",2005,12,2035
"DE",2006,1,1697
"DE",2006,2,2409
"DE",2006,3,4214
"DE",2006,4,1294
"DE",2006,5,1386
"DE",2006,6,3929
"DE",2006,9,4293
"DE",2006,10,2342
"DE",2006,11,4105
"DE",2006,12,1535
"DE",2007,1,1346
"DE",2007,2,1230
"DE",2007,3,5208
"DE",2007,4,1047
"DE",2007,5,2608
"DE",2007,6,1726
"DE",2007,7,1388
"DE",2007,9,2899
"DE",2007,10,1798
"DE",2007,11,4513
"DE",2007,12,1384
"DE",2008,1,2516
"DE",2008,2,2475
"DE",2008,3,2344
"DE",2008,4,2454
"DE",2008,5,2915
"DE",2008,6,4923
"DE",2008,9,3429
"DE",2008,10,1809
